PLANT_NAME,MATERIAL_NAME,Month,UNRESRICTED_STOCK_KT,Inbound_KT,Outbound_KT,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_LOST_PERCENT,Lag_Inv,Lag_Inb,Lag_Outb,Month_Number,Month_sin,Month_cos
CHINA-WAREHOUSE,MAT-0003,2024-12-01,0.117504,0.0,0.0,P-004,2,35,0.117504,0.0,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0004,2024-01-01,0.083925,0.0,0.0,P-002,3,35,0.085675,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0004,2024-02-01,0.083925,0.0,0.0,P-002,3,35,0.083925,0.0,0.0,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0004,2024-03-01,0.080925,0.0,0.003,P-002,3,35,0.083925,0.0,0.0,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0004,2024-04-01,0.07495,0.0,0.0,P-002,3,35,0.080925,0.0,0.003,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0004,2024-05-01,0.07495,0.0,0.0,P-002,3,35,0.07495,0.0,0.0,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0004,2024-06-01,0.073475,0.0,0.00145,P-002,3,35,0.07495,0.0,0.0,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0004,2024-07-01,0.07200000000000001,0.0,0.00148,P-002,3,35,0.073475,0.0,0.00145,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0004,2024-08-01,0.07200000000000001,0.0,0.0,P-002,3,35,0.07200000000000001,0.0,0.00148,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0004,2024-09-01,0.07200000000000001,0.0,0.0,P-002,3,35,0.07200000000000001,0.0,0.0,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0006,2024-01-01,0.00385,0.0,0.0,P-002,8,20,0.00385,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0006,2024-02-01,0.00385,0.0,0.0,P-002,8,20,0.00385,0.0,0.0,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0007,2024-01-01,0.116275,0.297,0.14165,P-001,2,10,0.117725,0.495,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0007,2024-02-01,0.8033750000000001,0.0935,0.04951,P-001,2,10,0.116275,0.297,0.14165,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0007,2024-03-01,0.876,0.1485,0.07579,P-001,2,10,0.8033750000000001,0.0935,0.04951,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0007,2024-04-01,0.81405,0.22275,0.15543,P-001,2,10,0.876,0.1485,0.07579,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0007,2024-05-01,1.024375,0.198,0.0619,P-001,2,10,0.81405,0.22275,0.15543,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0007,2024-06-01,1.2764,0.34650000000000003,0.29248,P-001,2,10,1.024375,0.198,0.0619,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0007,2024-07-01,1.0396,0.0,0.36056,P-001,2,10,1.2764,0.34650000000000003,0.29248,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0007,2024-08-01,0.857175,0.0,0.15773,P-001,2,10,1.0396,0.0,0.36056,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0007,2024-09-01,0.53875,0.14024999999999999,0.31846,P-001,2,10,0.857175,0.0,0.15773,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0007,2024-10-01,0.07732499999999999,0.14850000000000002,0.46139,P-001,2,10,0.53875,0.14024999999999999,0.31846,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0007,2024-11-01,0.154225,0.1485,0.21178,P-001,2,10,0.07732499999999999,0.14850000000000002,0.46139,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0007,2024-12-01,0.385075,0.0,0.1404,P-001,2,10,0.154225,0.1485,0.21178,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0008,2024-01-01,0.00125,0.0,0.0,P-002,3,20,0.00125,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0008,2024-02-01,0.00125,0.0,0.0,P-002,3,20,0.00125,0.0,0.0,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0008,2024-03-01,0.00125,0.0,0.0,P-002,3,20,0.00125,0.0,0.0,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0008,2024-04-01,0.0,0.0,0.0,P-002,3,20,0.00125,0.0,0.0,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0008,2024-05-01,0.0,0.0,0.0001,P-002,3,20,0.0,0.0,0.0,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0008,2024-06-01,0.0,0.0,0.0,P-002,3,20,0.0,0.0,0.0001,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0008,2024-07-01,0.0,0.0,2.9999999999999997e-05,P-002,3,20,0.0,0.0,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0008,2024-08-01,0.0,0.0,0.0,P-002,3,20,0.0,0.0,2.9999999999999997e-05,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0008,2024-09-01,0.0,0.0,0.0,P-002,3,20,0.0,0.0,0.0,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0008,2024-10-01,0.0,0.0,0.0,P-002,3,20,0.0,0.0,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0008,2024-11-01,0.0,0.0,0.0,P-002,3,20,0.0,0.0,0.0,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0008,2024-12-01,0.0,0.0,2.9999999999999997e-05,P-002,3,20,0.0,0.0,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0009,2024-01-01,0.6188,0.0,0.9359999999999999,P-002,5,40,0.5772,0.7488,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0009,2024-02-01,0.2028,0.0,0.416,P-002,5,40,0.6188,0.0,0.9359999999999999,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0009,2024-03-01,0.015600000000000001,0.0,0.1872,P-002,5,40,0.2028,0.0,0.416,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0009,2024-04-01,0.015600000000000001,0.0,0.0,P-002,5,40,0.015600000000000001,0.0,0.1872,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0009,2024-05-01,0.015600000000000001,0.0,0.0,P-002,5,40,0.015600000000000001,0.0,0.0,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0009,2024-06-01,0.2977,0.2821,0.0,P-002,5,40,0.015600000000000001,0.0,0.0,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0009,2024-07-01,0.2977,0.0,0.0,P-002,5,40,0.2977,0.2821,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0009,2024-08-01,0.2977,0.0,0.0,P-002,5,40,0.2977,0.0,0.0,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0009,2024-09-01,0.2977,0.0,0.0,P-002,5,40,0.2977,0.0,0.0,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0009,2024-10-01,0.2977,0.0,0.0,P-002,5,40,0.2977,0.0,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0009,2024-11-01,0.2977,0.030538,0.0,P-002,5,40,0.2977,0.0,0.0,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0009,2024-12-01,0.321085,0.0,0.0,P-002,5,40,0.2977,0.030538,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0010,2024-04-01,8.4e-05,0.0,0.0,P-002,5,50,7.5e-05,0.0,0.0,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0010,2024-05-01,8.4e-05,0.0,0.0,P-002,5,50,8.4e-05,0.0,0.0,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0010,2024-06-01,8.4e-05,0.0,0.0,P-002,5,50,8.4e-05,0.0,0.0,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0010,2024-07-01,8.4e-05,0.0,0.0,P-002,5,50,8.4e-05,0.0,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0010,2024-08-01,8.4e-05,0.0,0.0,P-002,5,50,8.4e-05,0.0,0.0,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0011,2024-05-01,0.16885,0.0,0.0006000000000000001,P-001,3,5,0.16945,0.0495,0.00368,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0011,2024-06-01,0.2182,0.0,0.00015,P-001,3,5,0.16885,0.0,0.0006000000000000001,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0011,2024-07-01,0.21682500000000002,0.0,0.00413,P-001,3,5,0.2182,0.0,0.00015,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0011,2024-08-01,0.203075,0.0,0.011,P-001,3,5,0.21682500000000002,0.0,0.00413,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0011,2024-09-01,0.203075,0.0,0.0,P-001,3,5,0.203075,0.0,0.011,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0011,2024-10-01,0.202575,0.0,0.0005,P-001,3,5,0.203075,0.0,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0011,2024-11-01,0.199825,0.0,0.00275,P-001,3,5,0.202575,0.0,0.0005,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0011,2024-12-01,0.15130000000000002,0.0,0.04854,P-001,3,5,0.199825,0.0,0.00275,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0012,2024-07-01,0.022,0.0,0.00275,P-001,2,15,0.02475,0.02475,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0012,2024-08-01,0.022,0.0,0.0,P-001,2,15,0.022,0.0,0.00275,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0012,2024-09-01,0.022,0.0,0.0,P-001,2,15,0.022,0.0,0.0,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0012,2024-10-01,0.01375,0.0,0.00825,P-001,2,15,0.022,0.0,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0012,2024-11-01,0.01375,0.0,0.0,P-001,2,15,0.01375,0.0,0.00825,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0012,2024-12-01,0.01375,0.0,0.0,P-001,2,15,0.01375,0.0,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0013,2024-01-01,0.3296,0.153,0.20968,P-002,3,25,0.386275,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0013,2024-02-01,0.5349999999999999,0.28049999999999997,0.075,P-002,3,25,0.3296,0.153,0.20968,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0013,2024-03-01,0.42827499999999996,0.408,0.10673,P-002,3,25,0.5349999999999999,0.28049999999999997,0.075,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0013,2024-04-01,0.674025,0.0,0.16205999999999998,P-002,3,25,0.42827499999999996,0.408,0.10673,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0013,2024-05-01,0.5388999999999999,0.0,0.13514,P-002,3,25,0.674025,0.0,0.16205999999999998,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0013,2024-06-01,0.39135,0.0,0.1655,P-002,3,25,0.5388999999999999,0.0,0.13514,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0013,2024-07-01,0.420575,0.28049999999999997,0.23307,P-002,3,25,0.39135,0.0,0.1655,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0013,2024-08-01,0.27442500000000003,0.0,0.14615,P-002,3,25,0.420575,0.28049999999999997,0.23307,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0013,2024-09-01,0.349325,0.22949999999999998,0.15445,P-002,3,25,0.27442500000000003,0.0,0.14615,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0013,2024-10-01,0.4121,0.22949999999999998,0.16649,P-002,3,25,0.349325,0.22949999999999998,0.15445,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0013,2024-11-01,0.11224999999999999,0.1545,0.29985,P-002,3,25,0.4121,0.22949999999999998,0.16649,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0013,2024-12-01,0.0688,0.051,0.24883999999999998,P-002,3,25,0.11224999999999999,0.1545,0.29985,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0014,2024-01-01,2.2e-05,0.0,0.0,P-001,3,20,2.5e-05,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0014,2024-02-01,2.2e-05,0.0,0.0,P-001,3,20,2.2e-05,0.0,0.0,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0014,2024-03-01,0.00016,0.0,0.0,P-001,3,20,2.2e-05,0.0,0.0,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0014,2024-04-01,0.000221,0.0,0.0,P-001,3,20,0.00016,0.0,0.0,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0014,2024-05-01,0.000221,0.0,0.0,P-001,3,20,0.000221,0.0,0.0,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0015,2024-01-01,1.184375,0.0,0.55296,P-001,8,20,1.76245,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0015,2024-02-01,1.030375,0.0,0.25302,P-001,8,20,1.184375,0.0,0.55296,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0015,2024-03-01,1.023625,0.5940000000000001,0.20005,P-001,8,20,1.030375,0.0,0.25302,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0015,2024-04-01,0.851625,0.0,0.7259,P-001,8,20,1.023625,0.5940000000000001,0.20005,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0015,2024-05-01,0.22935,0.0,0.56301,P-001,8,20,0.851625,0.0,0.7259,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0015,2024-06-01,0.45072500000000004,0.37125,0.29839,P-001,8,20,0.22935,0.0,0.56301,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0015,2024-07-01,0.3748,0.42075,0.52135,P-001,8,20,0.45072500000000004,0.37125,0.29839,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0015,2024-08-01,0.1048,0.495,0.39377,P-001,8,20,0.3748,0.42075,0.52135,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0015,2024-09-01,1.7983249999999997,1.9305,0.7306400000000001,P-001,8,20,0.1048,0.495,0.39377,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0015,2024-10-01,1.52565,0.396,0.66991,P-001,8,20,1.7983249999999997,1.9305,0.7306400000000001,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0015,2024-11-01,0.8225,0.0,0.70189,P-001,8,20,1.52565,0.396,0.66991,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0015,2024-12-01,0.7566999999999999,0.0,0.6611100000000001,P-001,8,20,0.8225,0.0,0.70189,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0016,2024-04-01,0.0,0.0,0.0,P-001,5,5,0.0,0.0,0.0,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0016,2024-10-01,0.0,0.0,0.0,P-001,5,5,0.0,0.0,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0017,2024-02-01,0.0746,0.42,0.045,P-002,6,30,0.11965,0.0,0.00035,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0017,2024-03-01,0.052099999999999994,0.38,0.0225,P-002,6,30,0.0746,0.42,0.045,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0017,2024-04-01,0.02,0.0,0.0001,P-002,6,30,0.052099999999999994,0.38,0.0225,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0017,2024-05-01,0.039975,0.0,2.9999999999999997e-05,P-002,6,30,0.02,0.0,0.0001,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0017,2024-06-01,0.039975,0.0,0.0,P-002,6,30,0.039975,0.0,2.9999999999999997e-05,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0017,2024-07-01,0.039900000000000005,0.0,8.999999999999999e-05,P-002,6,30,0.039975,0.0,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0017,2024-08-01,0.03475,0.0,0.00515,P-002,6,30,0.039900000000000005,0.0,8.999999999999999e-05,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0017,2024-09-01,0.81365,1.0,0.03258,P-002,6,30,0.03475,0.0,0.00515,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0017,2024-10-01,0.991075,0.34,0.02258,P-002,6,30,0.81365,1.0,0.03258,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0017,2024-11-01,0.834825,0.0,0.11249999999999999,P-002,6,30,0.991075,0.34,0.02258,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0017,2024-12-01,2.014625,0.0,0.0,P-002,6,30,0.834825,0.0,0.11249999999999999,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0018,2024-07-01,0.305125,0.14850000000000002,0.09081,P-001,4,15,0.2475,0.2475,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0018,2024-08-01,0.305125,0.0,0.0,P-001,4,15,0.305125,0.14850000000000002,0.09081,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0018,2024-09-01,0.20537499999999997,0.0,0.09975,P-001,4,15,0.305125,0.0,0.0,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0018,2024-10-01,0.12975,0.0,0.07563,P-001,4,15,0.20537499999999997,0.0,0.09975,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0018,2024-11-01,0.08025,0.0,0.0495,P-001,4,15,0.12975,0.0,0.07563,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0018,2024-12-01,0.12975,0.0,0.07425000000000001,P-001,4,15,0.08025,0.0,0.0495,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0019,2024-10-01,0.20465,0.0,0.027,P-002,7,30,0.23165,0.0,0.0091,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0019,2024-11-01,0.20455,0.0,0.0001,P-002,7,30,0.20465,0.0,0.027,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0019,2024-12-01,0.1995,0.0,0.00506,P-002,7,30,0.20455,0.0,0.0001,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0020,2024-12-01,0.1485,0.0,0.0,P-001,3,5,0.1485,0.14850000000000002,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0027,2024-10-01,0.099,0.0,0.0,P-001,4,20,0.099,0.099,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0027,2024-11-01,0.099,0.0,0.0,P-001,4,20,0.099,0.0,0.0,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0027,2024-12-01,0.099,0.0,0.0,P-001,4,20,0.099,0.0,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0032,2024-01-01,0.5007,0.153,0.0,P-002,11,20,0.3478,0.0,0.0,1,0.49999999999999994,0.8660254037844387
