DATE,PLANT_NAME,MATERIAL_NAME,NET_QUANTITY_MT,TYPE,MODE_OF_TRANSPORT,CUSTOMER_NUMBER
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,6.875,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,17.875,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,24.75,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0392,16.5,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0392,5.5,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0116,9.625,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0116,15.125,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0116,24.75,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0116,24.75,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0085,24.75,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0424,24.75,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0424,24.75,Inbound,,
2024/09/13,SINGAPORE-WAREHOUSE,MAT-0424,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,8.25,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,16.5,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,15.125,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,9.625,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,17.875,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,6.875,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/09/24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,24.75,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,24.75,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,24.75,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,24.75,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,15.125,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,9.625,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,5.5,Inbound,,
2024/10/06,SINGAPORE-WAREHOUSE,MAT-0099,19.25,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,13.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,11.0,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,13.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,11.0,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2024/10/15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,Inbound,,
2023/11/16,SINGAPORE-WAREHOUSE,MAT-0068,24.75,Inbound,,
2023/12/21,SINGAPORE-WAREHOUSE,MAT-0304,22.5,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,5.5,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,19.25,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,12.375,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,12.375,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,8.25,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,16.5,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,17.875,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,6.875,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,6.875,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,17.875,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/11/07,SINGAPORE-WAREHOUSE,MAT-0116,23.375,Inbound,,
2023/11/07,SINGAPORE-WAREHOUSE,MAT-0116,23.375,Inbound,,
2023/11/07,SINGAPORE-WAREHOUSE,MAT-0085,23.375,Inbound,,
2023/11/07,SINGAPORE-WAREHOUSE,MAT-0309,24.75,Inbound,,
2023/11/07,SINGAPORE-WAREHOUSE,MAT-0309,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/12/08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,15.125,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,9.625,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,22.0,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,2.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,13.75,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,11.0,Inbound,,
2023/11/26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0218,24.75,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0218,24.75,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0218,12.375,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0218,12.375,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0218,24.75,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0164,23.375,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0164,23.375,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0211,24.75,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0207,23.375,Inbound,,
2023/11/22,SINGAPORE-WAREHOUSE,MAT-0367,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,11.0,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,13.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,6.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,17.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,4.125,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,20.625,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,9.625,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,15.125,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,15.125,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,9.625,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,6.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,17.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,11.0,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0421,13.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,16.5,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,8.25,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,8.25,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,16.5,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,2.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,2.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,2.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,1.375,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,13.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,1.375,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,9.625,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,15.125,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,11.0,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,13.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,17.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,6.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,12.375,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,12.375,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0221,22.5,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0221,22.5,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0221,22.5,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0221,22.5,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,20.0,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,20.0,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,20.0,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,5.5,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,19.25,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,5.5,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,19.25,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,16.5,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,8.25,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,17.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,6.875,Inbound,,
2023/11/23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,20.0,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,6.25,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,13.75,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,13.75,Inbound,,
2023/12/01,SINGAPORE-WAREHOUSE,MAT-0303,6.25,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,2.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,22.0,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,23.375,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,1.375,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,4.125,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,20.625,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,17.875,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,6.875,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0228,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,13.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,11.0,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,13.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,11.0,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,4.125,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,20.625,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2023/11/18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,Inbound,,
2024/01/02,SINGAPORE-WAREHOUSE,MAT-0366,22.5,Inbound,,
2023/11/13,SINGAPORE-WAREHOUSE,MAT-0273,24.75,Inbound,,
2023/11/13,SINGAPORE-WAREHOUSE,MAT-0354,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,20.625,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,4.125,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,4.125,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,20.625,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/05,SINGAPORE-WAREHOUSE,MAT-0413,16.5,Inbound,,
